,access_right,communities,conference_acronym,conference_dates,conference_place,conference_title,conference_url,contributors,creators,description,doi,keywords,license,prereserve_doi,publication_date,publication_type,title,upload_type,files,notes,references,xml_id,format
0,open,[{'identifier': 'dhd'}],DHd 2020,02.03.2020 - 06.03.2020,Paderborn,"DHd 2020 Spielräume: Digital Humanities zwischen Modellierung und Interpretation. 7. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://www.dhd2020.dig-hum.de/,"[{'affiliation': 'Lehrstuhl für Digital Humanities, Universität Trier', 'name': 'Schöch, Christof', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]","[{'affiliation': 'Universität zu Köln, Cologne Center for eHumanities (CCeH); Universität zu Köln, Data Center for the Humanities (DCH)', 'name': 'Blumtritt, Jonathan'}, {'affiliation': 'Universität zu Köln, Data Center for the Humanities (DCH); Universität zu Köln, Institut für Digital Humanities (IDH)', 'name': 'Helling, Patrick'}, {'affiliation': 'Universität zu Köln, Data Center for the Humanities (DCH); Universität zu Köln, Institut für Digital Humanities (IDH)', 'name': 'Mathiak, Brigitte'}, {'affiliation': 'Universität zu Köln, Cologne Center for eHumanities (CCeH); Universität zu Köln, Data Center for the Humanities (DCH)', 'name': 'Neuefeind, Claes'}, {'affiliation': 'Universität zu Köln, Data Center for the Humanities (DCH); Universität zu Köln, Institut für Linguistik (IfL)', 'name': 'Rau, Felix'}, {'affiliation': 'Universität zu Köln, Data Center for the Humanities (DCH)', 'name': 'Schildkamp, Philip'}, {'affiliation': 'Universität zu Köln, Institut für Digital Humanities (IDH)', 'name': 'Wieners, Jan Gerrit'}]",A single abstract from the DHd-2020 Book of Abstracts.,10.5281/zenodo.4608525,[],CC-BY-4.0,"{'doi': '10.5281/zenodo.4608525', 'recid': 4608525}",2020-02-20,conferencepaper,"Geisteswissenschaftliches Forschungsdatenmanagement in der Lehre – Konzepte, Methoden, Erfahrungen",publication,"['154_final-HELLING_Patrick_Geisteswissenschaftliches_Forschungsdatenman.pdf', '154_final-HELLING_Patrick_Geisteswissenschaftliches_Forschungsdatenman.xml']",,,,
1,open,"[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]",DHd 2020,02.03.2020-06.03.2020,Paderborn,"DHd 2020 Spielräume: Digital Humanities zwischen Modellierung und Interpretation. 7. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://dhd2020.dig-hum.de/,"[{'affiliation': 'Lehrstuhl für Digital Humanities, Universität Trier', 'name': 'Schöch, Christof', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]","[{'affiliation': 'Universität Trier, Deutschland', 'name': 'Lüschow, Andreas'}]",A single abstract from the DHd-2020 Book of Abstracts.,10.5281/zenodo.4621704,"['DHd2020', 'Romanistik', 'Datenmodellierung', 'Metadatenextraktion']",CC-BY-4.0,"{'doi': '10.5281/zenodo.4621704', 'recid': 4621704}",2020-02-20,conferencepaper,Automatische Extraktion und semantische Modellierung der Einträge einer Bibliographie französischsprachiger Romane,publication,"['102_final-L_SCHOW_Andreas_Automatische_Extraktion_und_semantische_Mode.pdf', '102_final-L_SCHOW_Andreas_Automatische_Extraktion_und_semantische_Mode.xml']","Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema ""Nachname, Vorname"" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig.",['https://doi.org/10.5281/zenodo.3666690'],102_final-L_SCHOW_Andreas_Automatische_Extraktion_und_semantische_Mode,Vortrag
2,open,"[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]",DHd 2020,02.03.2020 - 06.03.2020,Paderborn,"DHd 2020 Spielräume: Digital Humanities zwischen Modellierung und Interpretation. 7. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://www.dhd2020.dig-hum.de/,"[{'affiliation': 'Lehrstuhl für Digital Humanities, Universität Trier', 'name': 'Schöch, Christof', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]","[{'affiliation': 'Forschungsverbund Marbach Weimar Wolfenbüttel, Deutschland', 'name': 'Steyer, Timo'}, {'affiliation': 'Österreichische Akademie der Wissenschaften', 'name': 'Andorfer, Peter'}, {'affiliation': 'Max Weber Stiftung; Leibniz-Institut für Europäische Geschichte', 'name': 'Cremer, Fabian'}]",A single abstract from the DHd-2020 Book of Abstracts.,10.5281/zenodo.4621706,"['DHd2020', 'Digitales Publizieren', 'Daten', 'Publikation']",CC-BY-4.0,"{'doi': '10.5281/zenodo.4621706', 'recid': 4621706}",2020-02-20,conferencepaper,Abstract Enhancement. Potentiale der DHd-Konferenzabstracts als Daten/Publikation,publication,"['105_final-STEYER_Timo_Abstract_Enhancement__Potentiale_der_Dhd_Konfere.pdf', '105_final-STEYER_Timo_Abstract_Enhancement__Potentiale_der_Dhd_Konfere.xml']","Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema ""Nachname, Vorname"" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig.",['https://doi.org/10.5281/zenodo.3666690'],105_final-STEYER_Timo_Abstract_Enhancement__Potentiale_der_Dhd_Konfere,Posterpräsentation
3,open,"[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]",DHd 2020,02.03.2020 - 06.03.2020,Paderborn,"DHd 2020 Spielräume: Digital Humanities zwischen Modellierung und Interpretation. 7. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://www.dhd2020.dig-hum.de/,"[{'affiliation': 'Lehrstuhl für Digital Humanities, Universität Trier', 'name': 'Schöch, Christof', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]","[{'affiliation': 'Ludwig-Maximilians Universität München', 'name': 'Hadersbeck, Maximilian'}, {'affiliation': 'Ludwig-Maximilians Universität München', 'name': 'Babl, Florian'}, {'affiliation': 'Ludwig-Maximilians Universität München', 'name': 'Eisterhues, Marcel'}, {'affiliation': 'Ludwig-Maximilians Universität München', 'name': 'Röhrer, Ines'}, {'affiliation': 'Ludwig-Maximilians Universität München', 'name': 'Still, Sebastian'}, {'affiliation': 'Ludwig-Maximilians Universität München', 'name': 'Ullrich, Sabine'}, {'affiliation': 'Bayerische Akademie der Wissenschaften, München', 'name': 'Landes, Florian'}, {'affiliation': 'Bayerische Staatsbilbliothek, München', 'name': 'Lindinger, Matthias'}]",A single abstract from the DHd-2020 Book of Abstracts.,10.5281/zenodo.4621708,"['DHd2020', 'TEI-P5 XML Edition und Transformation', 'OCR', 'Lexikalische Arbeit', 'Suchmaschinen Programmierung', 'NLP-Ähnlichkeitssuche', 'WEB-Programmierung', 'git Projektmanagement', 'MongoDB']",CC-BY-4.0,"{'doi': '10.5281/zenodo.4621708', 'recid': 4621708}",2020-02-20,conferencepaper,Nachlass Ludwig Wittgenstein: Softwaretechnologien und computerlinguistische Methoden der Software-Infrastruktur um die FinderApp WiTTFind,publication,"['107_final-HADERSBECK_Maximilian_Nachlass_Ludwig_Wittgenstein__Software.pdf', '107_final-HADERSBECK_Maximilian_Nachlass_Ludwig_Wittgenstein__Software.xml']","Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema ""Nachname, Vorname"" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig.",['https://doi.org/10.5281/zenodo.3666690'],107_final-HADERSBECK_Maximilian_Nachlass_Ludwig_Wittgenstein__Software,Workshop
4,open,"[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]",DHd 2020,02.03.2020 - 06.03.2020,Paderborn,"DHd 2020 Spielräume: Digital Humanities zwischen Modellierung und Interpretation. 7. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://www.dhd2020.dig-hum.de/,"[{'affiliation': 'Lehrstuhl für Digital Humanities, Universität Trier', 'name': 'Schöch, Christof', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]","[{'affiliation': 'Ludwig-Maximilians Universität München', 'name': 'Hadersbeck, Maximilian'}, {'affiliation': 'Ludwig-Maximilians Universität München', 'name': 'Ullrich, Sabine'}, {'affiliation': 'Ludwig-Maximilians Universität München', 'name': 'Still, Sebastian'}, {'affiliation': 'Wittgenstein Archiv Universität Bergen/Norwegen', 'name': 'Pichler, Alois'}]",A single abstract from the DHd-2020 Book of Abstracts.,10.5281/zenodo.4621712,"['DHd2020', 'Textgenetik', 'Semantik', 'Edition', 'NLP', 'Clustering']",CC-BY-4.0,"{'doi': '10.5281/zenodo.4621712', 'recid': 4621712}",2020-02-20,conferencepaper,Spielräume bei der retroperspektivischen Analyse der Wittgenstein-Edition und die Herausforderungen für das Semantic Clustering,publication,"['108_final-HADERSBECK_Maximilian_Spielr_ume_bei_der_Retroperspektivisch.pdf', '108_final-HADERSBECK_Maximilian_Spielr_ume_bei_der_Retroperspektivisch.xml']","Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema ""Nachname, Vorname"" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig.",['https://doi.org/10.5281/zenodo.3666690'],108_final-HADERSBECK_Maximilian_Spielr_ume_bei_der_Retroperspektivisch,Vortrag
5,open,"[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]",DHd 2020,02.03.2020 - 06.03.2020,Paderborn,"DHd 2020 Spielräume: Digital Humanities zwischen Modellierung und Interpretation. 7. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://www.dhd2020.dig-hum.de/,"[{'affiliation': 'Lehrstuhl für Digital Humanities, Universität Trier', 'name': 'Schöch, Christof', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]","[{'affiliation': 'Leibniz-Institut für Europäische Geschichte (IEG), Deutschland', 'name': 'Wübbena, Thorsten'}, {'affiliation': 'Max Weber Stiftung (MWS), Deutschland', 'name': 'Neumann, Katrin'}, {'affiliation': 'Leibniz-Institut für Europäische Geschichte (IEG), Deutschland; Max Weber Stiftung (MWS), Deutschland', 'name': 'Cremer, Fabian'}]",A single abstract from the DHd-2020 Book of Abstracts.,10.5281/zenodo.4621714,"['DHd2020', 'Intermediation', 'Forschungsinfrastruktur', 'Management']",CC-BY-4.0,"{'doi': '10.5281/zenodo.4621714', 'recid': 4621714}",2020-02-20,conferencepaper,Intermediation der Forschungsinfrastruktur. Ein Rollenmodell für den Umgang mit einer komplexen Infrastrukturlandschaft,publication,"['109_final-W_BBENA_Thorsten_Intermediation_der_Forschungsinfrastruktur.pdf', '109_final-W_BBENA_Thorsten_Intermediation_der_Forschungsinfrastruktur.xml']","Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema ""Nachname, Vorname"" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig.",['https://doi.org/10.5281/zenodo.3666690'],109_final-W_BBENA_Thorsten_Intermediation_der_Forschungsinfrastruktur,Posterpräsentation
6,open,"[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]",DHd 2020,02.03.2020 - 06.03.2020,Paderborn,"DHd 2020 Spielräume: Digital Humanities zwischen Modellierung und Interpretation. 7. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://www.dhd2020.dig-hum.de/,"[{'affiliation': 'Lehrstuhl für Digital Humanities, Universität Trier', 'name': 'Schöch, Christof', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]","[{'affiliation': 'Interdisziplinäres Zentrum für Mittelalter und Frühneuzeit, Universität Salzburg', 'name': 'Nicka, Isabella'}, {'affiliation': 'Interdisziplinäres Zentrum für Mittelalter und Frühneuzeit, Universität Salzburg', 'name': 'Hinkelmanns, Peter'}, {'affiliation': 'Interdisziplinäres Zentrum für Mittelalter und Frühneuzeit, Universität Salzburg', 'name': 'Landkammer, Miriam'}, {'affiliation': 'Interdisziplinäres Zentrum für Mittelalter und Frühneuzeit, Universität Salzburg', 'name': 'Schwembacher, Manuel'}, {'affiliation': 'Interdisziplinäres Zentrum für Mittelalter und Frühneuzeit, Universität Salzburg', 'name': 'Zeppezauer-Wachauer, Katharina'}]",A single abstract from the DHd-2020 Book of Abstracts.,10.5281/zenodo.4621716,"['DHd2020', 'Ontologie', 'Narrative', 'Semantic Web', 'Mediävistik', 'Kunstgeschichte', 'Germanistik']",CC-BY-4.0,"{'doi': '10.5281/zenodo.4621716', 'recid': 4621716}",2020-02-20,conferencepaper,Erzählerische Spielräume. Medienübergreifende Erforschung von Narrativen im Mittelalter mit ONAMA,publication,"['110_final-NICKA_Isabella_Erz_hlerische_Spielr_ume__Medien_bergreifende.pdf', '110_final-NICKA_Isabella_Erz_hlerische_Spielr_ume__Medien_bergreifende.xml']","Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema ""Nachname, Vorname"" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig.",['https://doi.org/10.5281/zenodo.3666690'],110_final-NICKA_Isabella_Erz_hlerische_Spielr_ume__Medien_bergreifende,Vortrag
7,open,"[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]",DHd 2020,02.03.2020 - 06.03.2020,Paderborn,"DHd 2020 Spielräume: Digital Humanities zwischen Modellierung und Interpretation. 7. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://www.dhd2020.dig-hum.de/,"[{'affiliation': 'Lehrstuhl für Digital Humanities, Universität Trier', 'name': 'Schöch, Christof', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]","[{'affiliation': 'HTWK Leipzig, Deutschland', 'name': 'Dogunke, Swantje'}]",A single abstract from the DHd-2020 Book of Abstracts.,10.5281/zenodo.4621718,"['DHd2020', 'Co-Design', 'Partizipation', 'Infrastruktur', 'Entwicklung']",CC-BY-4.0,"{'doi': '10.5281/zenodo.4621718', 'recid': 4621718}",2020-02-20,conferencepaper,"Partizipatives Design in Digital Humanities Projekten: Checklist, Maßnahmenkatalog und Use-Case",publication,"['111_final-DOGUNKE_Swantje_Partizipatives_Design_in_Digital_Humanities_.pdf', '111_final-DOGUNKE_Swantje_Partizipatives_Design_in_Digital_Humanities_.xml']","Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema ""Nachname, Vorname"" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig.",['https://doi.org/10.5281/zenodo.3666690'],111_final-DOGUNKE_Swantje_Partizipatives_Design_in_Digital_Humanities_,Vortrag
8,open,"[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]",DHd 2020,02.03.2020 - 06.03.2020,Paderborn,"DHd 2020 Spielräume: Digital Humanities zwischen Modellierung und Interpretation. 7. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://www.dhd2020.dig-hum.de/,"[{'affiliation': 'Lehrstuhl für Digital Humanities, Universität Trier', 'name': 'Schöch, Christof', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]","[{'affiliation': 'Julius-Maximilians-Universität Würzburg, Deutschland', 'name': 'Weimer, Lukas'}]",A single abstract from the DHd-2020 Book of Abstracts.,10.5281/zenodo.4621720,"['DHd2020', 'Korpus', 'Annotation', 'Figurenrede', 'Stilometrie']",CC-BY-4.0,"{'doi': '10.5281/zenodo.4621720', 'recid': 4621720}",2020-02-20,conferencepaper,Stilometrische Untersuchung von Figurenreden in realistischen Erzähltexten,publication,"['113_final-WEIMER_Lukas_Stilometrische_Untersuchung_von_Figurenreden_in.pdf', '113_final-WEIMER_Lukas_Stilometrische_Untersuchung_von_Figurenreden_in.xml']","Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema ""Nachname, Vorname"" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig.",['https://doi.org/10.5281/zenodo.3666690'],113_final-WEIMER_Lukas_Stilometrische_Untersuchung_von_Figurenreden_in,Posterpräsentation
9,open,"[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]",DHd 2020,02.03.2020 - 06.03.2020,Paderborn,"DHd 2020 Spielräume: Digital Humanities zwischen Modellierung und Interpretation. 7. Tagung des Verbands ""Digital Humanities im deutschsprachigen Raum""",https://www.dhd2020.dig-hum.de/,"[{'affiliation': 'Lehrstuhl für Digital Humanities, Universität Trier', 'name': 'Schöch, Christof', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]","[{'affiliation': 'Freie Universität Berlin, Deutschland', 'name': 'Meyer-Sickendiek, Burkhard'}, {'affiliation': 'Universität Hamburg, Deutschland', 'name': 'Baumann, Timo'}, {'affiliation': 'Freie Universität Berlin, Deutschland', 'name': 'Hussein, Hussein'}]",A single abstract from the DHd-2020 Book of Abstracts.,10.5281/zenodo.4621722,"['DHd2020', 'Postmodern Poetry', 'Translation', 'Punctuation Reconstruction']",CC-BY-4.0,"{'doi': '10.5281/zenodo.4621722', 'recid': 4621722}",2020-02-20,conferencepaper,Requirements on the Punctuation Reconstruction for the Translation of Post-modern Poetry,publication,"['114_final-MEYER_SICKENDIEK_Burkhard_Requirements_on_the_Punctuation_Re.pdf', '114_final-MEYER_SICKENDIEK_Burkhard_Requirements_on_the_Punctuation_Re.xml']","Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema ""Nachname, Vorname"" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig.",['https://doi.org/10.5281/zenodo.3666690'],114_final-MEYER_SICKENDIEK_Burkhard_Requirements_on_the_Punctuation_Re,Posterpräsentation
